"product_id","scrape_product_id","keyword","link","title_translated","gpt_category_suggestion","gpt_description","product_label","trending_label","title","image_urls","stock_count","stock_units","repurchase_rate","is_validated","is_catalogued","created_by","updated_by","createdAt","updatedAt","deletedAt","platform_id","supplier_id","taxonomy_id"
18,1226,extension-https://detail.1688.com/offer/604653579768.html,https://detail.1688.com/offer/604653579768.html,"12oz Eggshell Cup Stainless Steel Insulated Cup Portable Egg Cup Red Wine Cup Big Belly Cup Wholesale","""Home & Garden>Kitchen & Dining>Tableware>Drinkware""","12oz Stainless Steel Insulated Eggshell Cup",,,外贸12oz蛋壳杯家用水杯不锈钢保温杯便携鸡蛋杯红酒杯大肚杯批发,"{https://img.alicdn.com/imgextra/i2/6000000006307/O1CN015nbckO1wSeg53Potr_!!6000000006307-0-tbvideo.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01xlOEum1WPHvtGQHPO_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN010rjsZQ1WPHtEIVI2L_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01N76cOS1WPHtDwkM1s_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN016SkFm91WPHtDwiXpB_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Ozxc6X1WPHkTh6stX_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01WYk3KS1WPHtDwyS7n_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01v9s1Qy1WPHt9mGQUW_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01efKWDp1WPHtGuSf1A_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01p6rqiN1WPHtJKe8ub_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01l05gQg1WPHtFmTcxv_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01495kK61WPHtLrXJtY_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01wdxGKR1WPHtFOWwbi_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN011ADquJ1WPHtL1qzaz_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01XNjAXs1WPHt9oqPIo_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01ImR7ro1WPHtDzTjq8_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01K6Zf1i1WPHtLrfuku_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Oa9i8U1WPHtGxAUej_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN018fgTFq1WPHtJKtVyg_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN010I8BlD1WPHtJsz72L_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN012KAmgH1WPHtBsN20m_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Xcc95L1WPHtIGn5eB_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN0145cLKO1WPHtDx3YMm_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01t6DHX41WPHtLrqBWy_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01V8AgRr1WPHtLrrSYe_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01iabHN11WPHwHgOCXM_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01MQui101WPHwJuSr0j_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01dHs8XK1WPHwKuh8nZ_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN0167L2VK1WPHwMNtPJ4_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01B03nv91WPHwExSxTp_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01vVCime1WPHwKatFaX_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01bay4M31WPHwO5p6iE_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01E0MJYn1WPHx3u82Bl_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01PwYuX11WPHx8SwYgM_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Dkwiqp1WPHxyjFqWo_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01twWYhp1WPHy2j1YgO_!!2206423932780-0-cib.jpg}",0.0,Units,80,true,false,,,2024-04-24 16:41:45.246 +0800,2024-04-25 18:46:47.548 +0800,,1,17,674
19,1227,extension-https://detail.1688.com/offer/555670870714.html,https://detail.1688.com/offer/555670870714.html,Customized PVC Transparent Plastic Box for Food and Coffee Packaging,"""Home & Garden>Kitchen & Dining>Food Storage""",Customized PET Transparent Plastic Box Packaging,,,PVC透明塑料盒定制PET胶盒食品咖啡PP磨砂盒包装,"{https://img.alicdn.com/imgextra/i4/6000000005436/O1CN012MUdgE1q1jn3vULzg_!!6000000005436-0-tbvideo.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01aJG2oa2HHIxRThvhZ_!!3159429125-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01fURkqX2HHIsOTdJjl_!!3159429125-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01QEVG2r2HHIsBXqE0K_!!3159429125-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01UQqwgk2HHIsLgyC3V_!!3159429125-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Vayl0b2HHJ2DNz8zU_!!3159429125-0-cib.jpg}",0.0,units,80,true,false,,,2024-04-24 16:49:44.359 +0800,2024-04-24 16:51:01.638 +0800,,1,18,2626
20,1228,extension-https://detail.1688.com/offer/737059056696.html,https://detail.1688.com/offer/737059056696.html,Rattan Stick Aromatherapy Essential Oil,"""Home & Garden>Decor>Home Fragrances>Air Fresheners""",Rattan Stick Aromatherapy Essential Oil,,,藤条无火香薰精油家用室内持久留香厕所除异味卧室香氛摆件批发,"{https://cbu01.alicdn.com/img/ibank/O1CN01VX8u5A29fZ1fEspFo_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01KrF0QZ29fZ1kJG6pr_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01ELWyst29fZ1Ynukhu_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01lvodRv29fZ1ee6XFk_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01BMX1XT29fZ1n23R71_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Ha3yzA29fZ1ee4vHM_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN011FxtVt29fZ1ee4vHF_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN010zz1qu29fZ1hFIIlt_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01LybA8y29fZ1jdVGwB_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01989lyk29fZ1dSsARC_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01QxQWbM29fZ1iWE8s0_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01FarThV29fZ1dSsq1U_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01SjV78a29fZ1iRJHf0_!!2210452168095-0-cib.jpg}",0.0,Units,80,true,false,,,2024-04-24 17:02:59.045 +0800,2024-04-24 17:07:43.502 +0800,,1,19,3898
22,1228,extension-https://detail.1688.com/offer/737059056696.html,https://detail.1688.com/offer/737059056696.html,Rattan Stick Aromatherapy Essential Oil,"",Rattan Stick Aromatherapy Essential Oil,,,藤条无火香薰精油家用室内持久留香厕所除异味卧室香氛摆件批发,"{https://cbu01.alicdn.com/img/ibank/O1CN01VX8u5A29fZ1fEspFo_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01KrF0QZ29fZ1kJG6pr_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01ELWyst29fZ1Ynukhu_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01lvodRv29fZ1ee6XFk_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01BMX1XT29fZ1n23R71_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Ha3yzA29fZ1ee4vHM_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN011FxtVt29fZ1ee4vHF_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN010zz1qu29fZ1hFIIlt_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01LybA8y29fZ1jdVGwB_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01989lyk29fZ1dSsARC_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01QxQWbM29fZ1iWE8s0_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01FarThV29fZ1dSsq1U_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01SjV78a29fZ1iRJHf0_!!2210452168095-0-cib.jpg}",0.0,Units,80,true,false,,,2024-04-24 17:02:59.047 +0800,2024-04-24 17:08:12.309 +0800,,1,20,
23,1229,extension-https://detail.1688.com/offer/764053986285.html,https://detail.1688.com/offer/764053986285.html,Stainless Steel Self-service Buffet Stove Hotel Restaurant Heating Container Insulation Stove Hanging Stove Alcohol Stove,"""Home & Garden>Kitchen & Dining>Cookware & Bakeware>Cookware""",Buffet Display,,,跨境货源金色不锈钢自助餐炉酒店餐厅加热容器保温炉吊炉酒精炉,"{https://img.alicdn.com/imgextra/i1/6000000007767/O1CN01xp4oOe27FL7CErjVC_!!6000000007767-0-tbvideo.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Z5WVfS2HnMkIhRFmV_!!2216445389195-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01fdlnBG2HnMkB3nxKd_!!2216445389195-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN014rC5rf2HnMkGrfQt6_!!2216445389195-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01xpDrDB2HnMk5QiZEg_!!2216445389195-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01x5bG9M2HnMkEGUByD_!!2216445389195-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN014rC5rf2HnMkGrfQt6_!!2216445389195-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01LzaAw42HnMkIhR3JV_!!2216445389195-0-cib.jpg}",0.0,Units,80,true,false,,,2024-04-25 10:08:48.489 +0800,2024-04-25 10:10:00.589 +0800,,1,22,654
57,1288,extension-https://detail.1688.com/offer/772888203425.html,https://detail.1688.com/offer/772888203425.html,Thick Cotton Sweatshirt,"",Fleece Sweatshirt 320g,,,华棉奥利绒圆领卫衣秋冬款上衣打底衫男女外套加绒加厚,"{https://cbu01.alicdn.com/img/ibank/O1CN01tJSafc2EukIDGDa7u_!!3257848805-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01amP8Xr2EukI7fZoWG_!!3257848805-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01TgEIBf2EukIEU2sCy_!!3257848805-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01TxD3G82EukIAqcoKW_!!3257848805-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01H5kCkj2EukIFFSxly_!!3257848805-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01H5kCkj2EukIFFSxly_!!3257848805-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01WquaYv2EukIBbGdQB_!!3257848805-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01skkco52EukIFFUm7N_!!3257848805-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01s6cAlE2EukIFFWvCu_!!3257848805-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01fd5dYb2EukIArUJV1_!!3257848805-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01VeMv1q2EukIE7BKTN_!!3257848805-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01rQq0t52EukICad0cg_!!3257848805-0-cib.jpg}",4798280.0,件可售,80,true,false,,,2024-05-14 12:29:48.910 +0800,2024-05-15 14:57:40.078 +0800,,1,55,
68,1294,extension-https://detail.1688.com/offer/669157811385.html,https://detail.1688.com/offer/669157811385.html,Commercial Instant Milk Tea Juice Machine Coffee Machine,"""Business & Industrial>Food Service""",Smoothie Machine - Option 1 -50*59*142cm,,,商用速溶奶茶果汁机 咖啡机工厂式多功能粉料机 无人自助奶茶机,"{https://cbu01.alicdn.com/img/ibank/12568180243_2033147544.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01xt5rwQ2IneMxxhCMt_!!949909331-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01DnN2bF2IneN2xiTPH_!!949909331-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01A2fqcQ2IneMxxh432_!!949909331-0-cib.jpg}",0.0,units,80,true,false,,,2024-05-14 16:01:33.073 +0800,2024-05-14 16:11:01.397 +0800,,1,66,135
69,1296,extension-https://detail.1688.com/offer/666175423156.html,https://detail.1688.com/offer/666175423156.html,Commercial Instant Coffee Beverage Machine,"""Business & Industrial>Food Service>Vending Machines""",Smoothie Machine - Option 2 -57*59*177cm,,,速溶咖啡饮料机商用智能蛋白粉机奶昔机多口味咖啡奶茶机工厂货源,"{https://cbu01.alicdn.com/img/ibank/O1CN01w7k6gh1Bs2oVCv6Ml_!!0-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN019tssAp2InebB7bRQR_!!949909331-0-cib.jpg,https://img.alicdn.com/imgextra/i2/6000000000270/O1CN01ko4pCV1Drhotl1Dfq_!!6000000000270-0-tbvideo.jpg,https://img.alicdn.com/imgextra/i4/6000000004453/O1CN018uguKW1ilWYkjUUU2_!!6000000004453-0-tbvideo.jpg,https://cbu01.alicdn.com/img/ibank/O1CN0133zBRe2IneN8atAqy_!!949909331-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01CMiLur2IneMzPYXdz_!!949909331-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01x8XqN52IneN2f1BBo_!!949909331-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01stWk6S2IneMzPXGeG_!!949909331-0-cib.jpg}",0.0,units,80,true,false,,,2024-05-14 16:02:33.656 +0800,2024-05-14 16:11:29.609 +0800,,1,66,137
70,1297,extension-https://detail.1688.com/offer/782051764491.html,https://detail.1688.com/offer/782051764491.html,Tea Machine Ice Shaver Juicer Milk Cap Machine Commercial Multifunctional Milk Tea Shop Special,"""Home & Garden>Kitchen & Dining>Kitchen Appliances""",Smoothie Machine - Option 3 -18*21.5*43cm,,,萃茶机沙冰机刨冰碎冰机榨汁机奶盖机商用多功能奶茶店专用,"{https://cbu01.alicdn.com/img/ibank/O1CN011iiO8V1S91AT9fXuk_!!0-item_pic.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01alQk511S918q7iwsd_!!1097272203-0-lubanu-s.jpg,https://cbu01.alicdn.com/img/ibank/O1CN010e6a2t1S918oUOAbd_!!1097272203-0-lubanu-s.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01P0lZvT1S918mUWiwR_!!1097272203-0-lubanu-s.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01yPnvLy1S918qgakVG_!!1097272203-0-lubanu-s.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01s1vO4i1S918fdoaxf_!!1097272203.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01q0YWQj1S918lkVuhM_!!1097272203.jpg,https://cbu01.alicdn.com/img/ibank/O1CN015pgkwf1S918lkTMi2_!!1097272203.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01JYDOwk1S918fdnaba_!!1097272203.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01VToKdo1S918sbpfSr_!!1097272203.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01RCLqfj1S918lWT2iQ_!!1097272203.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01kezxlj1S918nv8CsB_!!1097272203.jpg,https://cbu01.alicdn.com/img/ibank/O1CN015IGvMC1S918qQcn5m_!!1097272203.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01l0asS61S918oO4Zmg_!!1097272203.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01JqR0AT1S918fozMBJ_!!1097272203.jpg}",1990.0,件可售,80,true,false,,,2024-05-14 16:07:22.029 +0800,2024-05-14 16:12:01.667 +0800,,1,67,730
71,1298,extension-https://detail.1688.com/offer/675497814834.html,https://detail.1688.com/offer/675497814834.html,Commercial Ice Crusher with Cover for Milk Tea Shop,"""Home & Garden>Kitchen & Dining>Kitchen Appliances>Ice Crushers & Shavers""",Smoothie Machine - Option 4 -23*25.5*58cm,,,沙冰机商用大马力奶茶店带罩碎冰机静音果汁机隔音破冰机打冰沙机,"{https://cbu01.alicdn.com/img/ibank/O1CN01dPHj0O2BAXJIgZcMC_!!2209711348298-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01NTspnY2BAXJRf1Kz6_!!2209711348298-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01USnpEA2BAXJLou2Fy_!!2209711348298-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01TEeNqs2BAXJIgYLKe_!!2209711348298-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01PKL74g2BAXJRf2Xpa_!!2209711348298-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01x3P6HW2BAXJQQkekg_!!2209711348298-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01HBqonI2BAXJL9FZel_!!2209711348298-0-cib.jpg,https://cdn.sourcy.ai/product_images/2024-05-14T08:13:18.680Z-ee01cdef-60aa-5510-a63e-215ad21cf3b2.png}",176332.0,台可售,80,true,false,,,2024-05-14 16:10:23.772 +0800,2024-05-14 16:13:18.912 +0800,,1,68,749
